application_number,filing_date,uspc_class,cpc4,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_region_code,inventor_country_code
12917853,02/11/10,706,G06N,masato,,ito,2,,JP
12917853,02/11/10,706,G06N,kohtaro,,sabe,3,,JP
12917853,02/11/10,706,G06N,naoki,,ide,1,,JP
12918832,23/08/10,706,G06N,norikazu,,matsumura,3,,JP
12918832,23/08/10,706,G06N,satoshi,,morinaga,2,,JP
12918832,23/08/10,706,G06N,michinari,,momma,1,,JP
12918832,23/08/10,706,G06N,daisuke,,komura,4,,JP
12932855,08/03/11,706,G06F,kei,,tateno,1,,JP
12936811,15/12/10,706,G06F,midori,,onogi,6,,JP
12936811,15/12/10,706,G06F,mirai,,hara,2,,JP
12936811,15/12/10,706,G06F,takefumi,,naganuma,5,,JP
12936811,15/12/10,706,G06F,masashi,,onogi,4,,JP
12936811,15/12/10,706,G06F,shoji,,kurakake,7,,JP
12936811,15/12/10,706,G06F,hidetoshi,,ueno,3,,JP
12936811,15/12/10,706,G06F,yusuke,,fukazawa,1,,JP
12938357,02/11/10,706,G06F,yoshimasa,,masuoka,2,,JP
12938357,02/11/10,706,G06F,tomohiro,,morimura,1,,JP
12951720,22/11/10,706,G06Q,takaya,,yuizono,2,,JP
12951720,22/11/10,706,G06Q,itsuo,,makino,1,,JP
12954145,24/11/10,706,G06T,yoshiyuki,,kobayashi,1,,JP
12954171,24/11/10,706,G06N,yoshiyuki,,kobayashi,1,,JP
12954194,24/11/10,706,G06N,kohtaro,,sabe,3,,JP
12954194,24/11/10,706,G06N,masato,,ito,2,,JP
12954194,24/11/10,706,G06N,naoki,,ide,1,,JP
12954264,24/11/10,706,G06N,masato,,ito,2,,JP
12954264,24/11/10,706,G06N,naoki,,ide,1,,JP
12954264,24/11/10,706,G06N,kohtaro,,sabe,3,,JP
12954381,24/11/10,706,G06K,kohtaro,,sabe,4,,JP
